"x","y"
0,1.7175443363184e-23
1,1.561334672395e-22
2,1.35034734619689e-21
3,1.11110839773539e-20
4,8.69818836479524e-20
5,6.47832348949244e-19
6,4.5904778475485e-18
7,3.09467185495126e-17
8,1.98487315496e-16
9,1.21119021755592e-15
10,7.03158764842288e-15
11,3.88379124425199e-14
12,2.04089097717804e-13
13,1.02034062062352e-12
14,4.85324249044412e-12
15,2.19624228765328e-11
16,9.45561870882986e-11
17,3.87312128323705e-10
18,1.50936295195026e-09
19,5.59612901784612e-09
20,1.97398203032333e-08
21,6.6246069335073e-08
22,2.11513688302512e-07
23,6.42507624313813e-07
24,1.85686160568136e-06
25,5.10554643969784e-06
26,1.33556911954909e-05
27,3.32393062300513e-05
28,7.87043933855903e-05
29,0.000177299473066539
30,0.000379994540873918
31,0.000774834078796708
32,0.00150314720429246
33,0.00277431491615143
34,0.00487159800481851
35,0.00813857883397144
36,0.0129356170147215
37,0.0195608249613747
38,0.0281415898030385
39,0.0385186922160112
40,0.0501598099536088
41,0.062144353565367
42,0.0732502161942801
43,0.0821443297726621
44,0.0876410785984522
45,0.0889609230983502
46,0.0859116957264259
47,0.0789344787455517
48,0.0689989756292559
49,0.0573825686041819
50,0.0454023957200865
51,0.0341773981894257
52,0.0244771399256952
53,0.0166779929699192
54,0.0108115595801385
55,0.0066679809300425
56,0.00391256707445728
57,0.0021841913672066
58,0.00116006151755287
59,0.000586182431343708
60,0.000281803264094148
61,0.00012889043341278
62,5.60863002491256e-05
63,2.32195791892153e-05
64,9.14562395813414e-06
65,3.42715526141405e-06
66,1.22184372521083e-06
67,4.14437446766797e-07
68,1.33740751658474e-07
69,4.10610426988224e-08
70,1.19938228807348e-08
71,3.33308763296439e-09
72,8.81246239882519e-10
73,2.2167119643126e-10
74,5.3049671297386e-11
75,1.20786270801944e-11
76,2.61645874954074e-12
77,5.39227031140753e-13
78,1.05728205596308e-13
79,1.97229335537398e-14
80,3.50036719728951e-15
81,5.91040365965683e-16
82,9.49471916397813e-17
83,1.4511374433308e-17
84,2.11006783078192e-18
85,2.91907819145333e-19
86,3.84199224381328e-20
87,4.81092606735654e-21
88,5.73142119751217e-22
89,6.49617045425819e-23
90,7.00509358876795e-24
91,7.1867397040309e-25
92,7.01473602741039e-26
93,6.51406658516262e-27
94,5.7551215162717e-28
95,4.83746956907676e-29
96,3.86850745152293e-30
97,2.94326979163148e-31
98,2.13048338689467e-32
99,1.46719444683648e-33
