"x","y"
0,8.98901708727386e-24
1,2.87145530023374e-23
2,9.04825619379482e-23
3,2.81255285185666e-22
4,8.62401434665311e-22
5,2.60850229482251e-21
6,7.7829806484123e-21
7,2.29072867768428e-20
8,6.65080676203974e-20
9,1.90479385453733e-19
10,5.38139173605633e-19
11,1.49973390009361e-18
12,4.12293781032206e-18
13,1.11807859786616e-17
14,2.99096175175579e-17
15,7.89264117858527e-17
16,2.05450325372528e-16
17,5.27550795746035e-16
18,1.33627150101173e-15
19,3.33885919567204e-15
20,8.22951948340544e-15
21,2.00089281895894e-14
22,4.79894914928977e-14
23,1.13538053727946e-13
24,2.64977938583661e-13
25,6.10029677602534e-13
26,1.38536810564939e-12
27,3.10350451046409e-12
28,6.85823798830452e-12
29,1.49501550513374e-11
30,3.21478413825242e-11
31,6.81916048672607e-11
32,1.42686531467358e-10
33,2.94515411072994e-10
34,5.99661330133609e-10
35,1.20441744474644e-09
36,2.38627782412151e-09
37,4.66377884524693e-09
38,8.99141132733228e-09
39,1.70997892493024e-08
40,3.20794286535977e-08
41,5.93656826718635e-08
42,1.08372048470893e-07
43,1.95151580773199e-07
44,3.46656892145015e-07
45,6.07436073363958e-07
46,1.04996372383996e-06
47,1.79028009972319e-06
48,3.01120725826365e-06
49,4.99612490836036e-06
50,8.17709232793568e-06
51,1.32019319512793e-05
52,2.10256317135459e-05
53,3.30319027186319e-05
54,5.11907041332782e-05
55,7.82567108719543e-05
56,0.000118011696162622
57,0.00017555026485654
58,0.00025760299042873
59,0.000372883602936364
60,0.000532437513866828
61,0.00074995806909323
62,0.00104202536873018
63,0.00142821166855341
64,0.00193098916252768
65,0.00257537259773007
66,0.00338823308752406
67,0.00439723283902916
68,0.00562935478859158
69,0.00710903665740985
70,0.00885596438201926
71,0.0108826319946649
72,0.013191828610804
73,0.0157742613455864
74,0.0186065578754148
75,0.0216499062018594
76,0.0248495755339282
77,0.0281355173387064
78,0.0314241696057934
79,0.0346214848372598
80,0.0376270823804331
81,0.0403393014515838
82,0.0426608178573298
83,0.0445044005384207
84,0.0457983370293615
85,0.0464910587519801
86,0.0465545506473951
87,0.0459862309770982
88,0.0448091254989693
89,0.0430703196413415
90,0.0408378336864258
91,0.0381962099735808
92,0.0352412109203607
93,0.0320740903396855
94,0.0287959126922772
95,0.0255023571083161
96,0.022279363139176
97,0.0191998659420395
98,0.0163217452521059
99,0.0136869905886704
