"x","y"
0,9.55850761081543e-24
1,3.28500044488416e-23
2,1.11167786498095e-22
3,3.70442381229337e-22
4,1.21551566246372e-21
5,3.92734120903596e-21
6,1.24949606603699e-20
7,3.91443724380505e-20
8,1.20754120689399e-19
9,3.66802906235437e-19
10,1.09713926827334e-18
11,3.23138670646363e-18
12,9.37161182846739e-18
13,2.67631872650513e-17
14,7.52591930157989e-17
15,2.08391242788678e-16
16,5.6819519323751e-16
17,1.52550568113489e-15
18,4.03300059884256e-15
19,1.04988305635255e-14
20,2.69123579463888e-14
21,6.79298659046772e-14
22,1.68837124629278e-13
23,4.13212376102749e-13
24,9.95810903119053e-13
25,2.36308104582196e-12
26,5.5217728833848e-12
27,1.27050578186236e-11
28,2.87854441687434e-11
29,6.42195721324236e-11
30,1.41078249894849e-10
31,3.0517636974783e-10
32,6.5003976519646e-10
33,1.36341205686897e-09
34,2.81586946823733e-09
35,5.7265900030256e-09
36,1.1467740210144e-08
37,2.2612979250126e-08
38,4.39072164915032e-08
39,8.39483588957425e-08
40,1.58047160825157e-07
41,2.9299443371966e-07
42,5.34847812839817e-07
43,9.61389250385081e-07
44,1.70163528581181e-06
45,2.9657318878778e-06
46,5.08973855061377e-06
47,8.60116431899154e-06
48,1.4312555981731e-05
49,2.34517542910997e-05
50,3.78383034288973e-05
51,6.01154578249426e-05
52,9.40456788292486e-05
53,0.000144873754539206
54,0.000219755001664884
55,0.000328235843735527
56,0.000482760161911271
57,0.000699157510023496
58,0.000997049713297273
59,0.00140009267062676
60,0.00193595355703918
61,0.00263591420243826
62,0.00353399384621959
63,0.00466550319284813
64,0.00606498004430428
65,0.00776351586297943
66,0.00978556027655837
67,0.0121453806700047
68,0.0148434464317342
69,0.0178630885402321
70,0.0211678395739562
71,0.024699872033247
72,0.0283799126401485
73,0.0321089118978959
74,0.0357715950717533
75,0.0392418258996823
76,0.0423894996701146
77,0.0450884761416514
78,0.0472248957646219
79,0.0487051226774842
80,0.0494625449964857
81,0.0494625449964857
82,0.0487051226774842
83,0.0472248957646219
84,0.0450884761416514
85,0.0423894996701146
86,0.0392418258996823
87,0.0357715950717533
88,0.0321089118978959
89,0.0283799126401485
90,0.024699872033247
91,0.0211678395739562
92,0.0178630885402321
93,0.0148434464317342
94,0.0121453806700047
95,0.00978556027655837
96,0.00776351586297943
97,0.00606498004430428
98,0.00466550319284813
99,0.00353399384621959
